<<<<<<< HEAD
Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
16,1,3,1,1,53.68,Sue went to the wrong place to buy a newspaper.,21,29,1,,,,,,1,,,2,6,Error Case - Where to,
17,1,3,1,5,14.463,"Bob tells Sue the wrong information.  He tells her she could buy an Italian newspaper at a store, but it doesn't have Italian newspapers.",21,29,1,,,,1,,,,,5,6,Error Case - Where to,
18,1,3,1,1,107.793,"Sue's friend is a native of the city and generally knowledgeable and tells her Paper World will sell an Italian newspaper. However, it is actually an office supply store.",21,24,2,,,,,,1,,,6,4,Error Case - Where to,
19,1,3,1,1,21.127,"Sue's friend told her that she could buy an Italian paper at Paperworld, but it ended up not being that way at all.  Paperworld only sells office supplies and stationary.",21,28,1,,,,,,1,,,4,8,Error Case - Where to,
20,1,3,1,2,44.529,"Sue was told by Bob she could buy an Italian newspaper at nearby Paperworld.  Sue believes Bob, but Paperworld doesn't even sell newspapers.",21,53,1,,,,,,1,,,6,6,Error Case - Where to,
21,1,3,1,2,37.593,"Sue was standing outside of a business, Bob advised that Sue could buy an italian newspaper in said business.  business was a stationary store.",21,35,1,,,,,,1,,,4,7,Error Case - Where to,
22,1,3,1,1,23.487,Sue trusted her friend to give her correct information based on the fact that he is a native of a city she is visiting. Sue's friend was misinformed.,22,30,1,,,1,,,,,,5,8,Error Case - Where to,
23,1,3,1,1,22.467,Sue is standing on a street outside of a place called Paperworld.  Her friend Bob is usually very well informed and told her she could buy an Italian newspaper at Paperworld.  Having no reason to doubt him she is now at paperworld and has just found out they don't sell newspapers.  They instead sell things like stationary.,21,27,2,,,,1,,1,,,4,6,Error Case - Where to,
24,1,3,1,1,32.743,"Sue is standing on the corner near Paperworld, and her friend (who normally has accurate information) told her she could buy an Italian newspaper at Paperworld. But, he was incorrect - Paperworld only sells stationary and office supplies.",21,28,2,,,,,,1,,,6,7,Error Case - Where to,
25,1,3,1,1,38.871,"Sue was standing near Paperworld, which sells stationary and invitations. Bob misinformed Sue by telling her she could buy an Italian newspaper there.",21,52,2,,,,,,1,,,4,4,Error Case - Where to,
26,1,3,1,2,21.304,Sue wanted to go down to a store for newspaper. Her friend Bob told her that she can find an Italian newspaper down at the store she wanted to go to.  Sue went downand discovered that the newspaper wasn't there.,21,26,1,,,,,,1,,,5,4,Error Case - Where to,
27,1,3,1,7,25.201,Sue wants to buy a newspaper at paperworld,21,22,1,,,,,,1,,,4,5,Error Case - Where to,
28,1,3,1,1,28.943,"Sue was told that she could but a newpaper at a store, instead she was mis informed and they only sold office supplies.",21,20,1,,,,,,1,,,4,7,Error Case - Where to,
29,1,3,1,4,71.227,"Bob told Sue that she can buy an Italian newspaper at ""Paperworld"".  Sue believes him, however Bob is wrong.",21,52,2,,,,,,1,,,3,8,Error Case - Where to,
30,1,3,1,3,52.056,Sue's friend Bob gave her advice on where to buy Italian newspaper. It turned out his suggestion was wrong and sold different products.,21,22,1,,,,1,,,,,4,5,Error Case - Where to,
31,1,3,1,5,23.319,Bob told Sue she could buy an Italian paper at Paperworld. He was incorrect. ,21,26,1,,1,,,,,,,4,6,Error Case - Where to,
32,1,3,1,1,18.475,"Sue?s friend told her that she can buy an Italian newspaper at Paperworld, but it turns out that Paperworld just sells stationery and office supplies. ",21,29,2,,,,,,1,,,5,4,Error Case - Where to,
33,1,3,1,7,30.654,"Sue is told by a very trustworthy friend where to buy a newspaper, but he was misinformed and gave her incorrect information.",22,29,1,,,,1,,,,,5,7,Error Case - Where to,
34,1,3,1,2,21.417,"Sue's friend Bob, who is normally trustworthy, directed her incorrectly to a store to buy an Italian newspaper.",21,26,1,,,,,,,,,4,8,Error Case - Where to,
35,1,3,1,2,43.961,Sue wanted to buy an Italian newspaper and her friend told her incorrectly that she could buy one at PaperWorld. ,21,25,2,,,,1,,,,,5,6,Error Case - Where to,
36,1,3,1,1,20.561,Sue got the wrong information from her trustworthy friend. She trusted him too much.,21,25,1,,,,1,,,,,5,5,Error Case - Where to,
37,1,3,1,1,30.327,"Sue was told by her friend, a city native, that should could buy an Italian newspaper at Paperworld, but the store only sold stationary and office supplies.",21,30,1,,,,,,1,,,5,7,Error Case - Where to,
38,1,3,1,1,21.129,Sue had gotten bad information about where to buy a newspaper ,21,18,1,,1,,,,,,,4,8,Error Case - Where to,
39,1,3,1,1,41.936,"Sue is looking to buy an Italian newspaper which Bob told her she could get at Paperworld,however they don't sell them.",21,36,2,,,,,,1,,,4,4,Error Case - Where to,
40,1,3,1,1,79.136,"Sue's friend told her she could buy an Italian newspaper at a store called Paperworld, but he was wrong as they do not sell newspapers",21,36,2,,,,,,1,,,5,4,Error Case - Where to,
41,1,3,1,5,22.935,"Sue's friend told her the location of an Italian newspaper being at Paperworld. She expected her friend to be truthful, yet in reality the store does not sell newspapers.",21,19,1,,,,,,1,,,4,4,Error Case - Where to,
42,1,3,1,1,115.927,Sues friend told her that she could buy newspapers at paper world when really she cant because they dont sell newspapers,21,23,1,,,,,,1,,,4,8,Error Case - Where to,
43,1,3,1,1,14.353,sue was trying to buy newspaper but was sent to a wrong place,21,35,1,,,,,,1,,,5,6,Error Case - Where to,
44,1,3,1,2,38.228,sue asked her friend whom she trusted where to buy an italian newspaper but her friend was wrong,21,24,2,,,,,,1,,,5,7,Error Case - Where to,
45,1,3,1,1,23.661,Sue wants to buy an italian paper.  Bob tells Sue where to buy the paper.  Sue finds out that although Bob is knowledgeable about such things he is wrong this time.,21,26,1,,,,,,1,,,4,6,Error Case - Where to,
46,1,3,1,2,11.237,"Bob told Sue she can get an Italian paper, but the store did not carry that.",21,20,1,,,,,,1,,,4,6,Error Case - Where to,
47,1,3,1,1,31.093,"Guy told Sue that she can buy an italian paper at paperworld, but they sell stationery, not newspapers.",21,33,1,,,,,,1,,,2,9,Error Case - Where to,
48,1,3,1,1,24.909,Sue was told by her friend that she could buy an Italian newspaper at Paperworld but her friend was misinformed because Paperworld only sold office supplies ,21,34,1,,,,1,,,,,5,7,Error Case - Where to,
49,1,3,1,4,43.864,Bob lied to sue about where to buy an Italian newspaper.  That does not necessarily mean she does not know where to buy one.,21,24,1,,,,,,1,,,2,9,Error Case - Where to,
50,1,3,1,5,3.155,About a newspaper from Sue,21,19,1,,,,1,,,,,4,5,Error Case - Where to,
51,1,3,1,4,44.977,"Sue was told by a friend named Bob that should could purchase an italian paper and a store called Paperworld.  However, Bob was wrong as it was a stationery store.",21,40,1,,,,1,,1,,,5,5,Error Case - Where to,
52,1,3,1,1,46.143,"A friend - who normally knows his way around the city - gave another friend bad advice & mislead her to believe she could get what she wanted at a particular store, when she in fact could not.",21,27,1,,,,,,1,,,4,8,Error Case - Where to,
53,1,3,1,1,23.089,Sue wanted to buy an Italian newspaper so she asked a friend who directed her to Paperworld. However Paperworld sells paper supplies and doesn't carry newspapers at all.,21,23,1,,,,,,1,,,4,6,Error Case - Where to,
54,1,3,1,2,23.437,A woman was misinformed by her friend as to whether an Italian newspaper was available for sale at a store.,22,27,1,,,,1,,,,,5,4,Error Case - Where to,
55,1,3,1,7,44.655,bob told sue that she could buy newspaper at papaerworld but that info was incorrect,21,22,1,,,1,,,,,,4,8,Error Case - Where to,
56,1,3,1,1,35.176,Sue wanted an Italian news paper. Bob told sue she could buy one at Paperworld. Sue trusted Bob's advice but Paperworld does not sell Italian newspapers.,21,33,1,,,,,,1,,,4,6,Error Case - Where to,
57,1,3,1,2,33.099,"Sue trusts her friend Bob that Paperworld sells Italian newspapers, but they don't.",21,21,2,,,,,,1,,,4,8,Error Case - Where to,
58,1,3,1,1,28.809,"Sue is near Paperworld, her friend tells her she can buy an Italian newspaper there, but the store doesn't sell newspapers, only paper and stationary",21,23,2,,,,,,1,,,5,5,Error Case - Where to,
59,1,3,1,1,30.196,"Sue asked Bob if she could buy an Italian newspaper at Paperworld, and when he said yes she trusted him because he was familiar with the area. It ended up that Bob was wrong and Paperworld only sells stationary and office supplies.",21,18,1,,,1,,,,,,4,4,Error Case - Where to,
60,1,3,1,1,41.391,"Bob told Sue where to buy an Italian Newspaper, but was incorrect and sent her to a store that only sell stationary.",21,24,1,,,,,,1,,,4,7,Error Case - Where to,
61,1,3,1,1,19.038,Sue was told by a friend where she could purchase an Italian newspaper but the friend was wrong.,21,27,1,,,,,,1,,,2,5,Error Case - Where to,
62,1,3,1,1,35.567,Sue is looking for an Italian Newspaper. Her friend says she can buy one at paperworld. She cannot because they only sell stationary,21,24,1,,,,,,1,,,5,6,Error Case - Where to,
63,1,3,1,1,27.595,"Sue is looking for an italian newspaper. Her friend Bob, a native to the city, told her where she could get one. Bob was wrong.",21,25,1,,,1,,1,1,,,4,9,Error Case - Where to,
64,1,3,1,1,24.884,"Sue's friend is a native of th city they live in.  His information is always accurate.  He told Sue that she could buy and Italian newspaper at Paperworld, but Sue found out that they only sell stationary materials.",21,30,2,,,,,,1,,,5,7,Error Case - Where to,
65,1,3,1,1,25.945,Sue was given bad information by Bob about where to buy an Italian newspaper.,21,25,1,,,,,,1,,,4,7,Error Case - Where to,
66,1,3,1,1,40.93,Sue wanted to buy and Italian New Papers and Bob told her a paperworld and she assumed Bob knew everything so she went there and it only sells stationary supplies not newspapers,21,51,2,,,,,,1,,,2,10,Error Case - Where to,
67,1,3,1,1,23.648,A man misinformed a woman about where she can buy an Italian newspaper.,21,18,1,,,,,,1,,,4,7,Error Case - Where to,
68,1,3,1,2,35.077,"Sue's friend Bob tells her she can buy an Italian newspaper at a store called Paperworld.  Sue believes Bob, not knowing he is incorrect.",21,29,1,,,,,,1,,,5,7,Error Case - Where to,
69,1,3,1,2,26.589,bob tells sue that she can buy an italian newspaper at paperworld and she believes him but really paperworld doesnt sell newspapers. They sell paper supplies.,21,21,2,,,,,,1,,,4,8,Error Case - Where to,
70,1,3,1,1,22.093,"bob told sue she can buy a italian newspaper at paperworld, but paperworld does not sell newspapers. it is a stationary and paper store.  sue always assumed bob was right.",21,23,3,,,,,,1,,,5,5,Error Case - Where to,
71,1,3,1,1,24.338,"Sue was told by bob that she could get an italian newspaper at paperworld, but they only sell stationary - not newspapers",21,21,1,,,,,,1,,,4,4,Error Case - Where to,
72,1,3,1,1,20.221,Bob gave Sue the wrong information about where she could buy an italian newspaper.,21,34,2,,,,,,1,,,4,7,Error Case - Where to,
73,1,3,1,2,29.111,Bob advised Sue she could buy an Italina Newspaper at Paperworld. He was wrong and Paperworld only sells stationery.,21,49,2,,,,,,1,,,2,5,Error Case - Where to,
74,1,3,1,1,25.929,Sue's friend gave her wrong information about finding an Italian newspaper.,21,24,2,,,,1,,,,,4,8,Error Case - Where to,
75,1,3,1,2,38.717,"Sue noticed Paperworld. Bob, her friend and local city dweller, said Paperworld sells Italian newspapers. Sue assumes that is correct. Paperworld sells stationery, not newspapers. Bob is wrong. ",21,44,2,,,,,,1,,,5,6,Error Case - Where to,
76,1,3,1,1,16.658,Sue's friend told her she could buy an Italian newspaper at a store that only sells stationary products,21,21,2,,,,,,1,,,4,6,Error Case - Where to,
77,1,3,1,1,218.981,Bob told Sue she could buy an Italian news paper at Paperworld when Paperworld actually sells paper and stationary goods. ,21,21,2,,,,1,,,,,4,7,Error Case - Where to,
78,1,3,1,1,18.329,"Sue's friend Bob claimed to know where to get a newspaper, however he's possibly legally blind as the store doesn't sell newspapers, so much as office supplies.",21,27,1,,,,,,1,,,3,5,Error Case - Where to,
79,1,3,1,2,70.547,"Sue wanted to buy an italian newspaper, her friend Bob, a native of the city, told her she can get one at paper world she trusted him however he was misinformed and paper world did not sell news papers at all.",22,23,1,,,,1,,,,,4,5,Error Case - Where to,
80,1,3,1,1,14.288,bob misinformed her about italian newspaper store,21,24,2,,,,,,1,,,4,8,Error Case - Where to,
81,1,3,1,2,37.954,Sue asked her friend ,21,,1,,,,,,1,,,4,7,Error Case - Where to,
82,1,3,1,6,31.495,Sue stands near a store called Paperworld and Bob misinforms Sue that they sell newspaper.,22,23,2,,,,1,,,,,4,6,Error Case - Where to,
83,1,3,1,1,32.383,Bob told Sue that she could buy an Italian paper at Paperworld. He lied.,21,29,1,,,,,,1,,,5,8,Error Case - Where to,
84,1,3,1,2,25.392,"Guy tells girl where to buy italian newspaper, guy is wrong.",21,40,1,,,,,,1,,,4,7,Error Case - Where to,
85,1,1,1,6,40.04,"Sue was told by Bob where to purchase an Italian newspaper.  He correctly informed her of a store, Newtopia, that sold the paper she was seeking.  In the second story, Bob gave her two stores that he thought sold the paper she is looking for.  He was wrong about one of them, it didn't even sell newspapers, let alone Italian ones.  But, he was accurate with the second one, Newtopia, as it carried the Italian paper she was looking for.",21,47,2,,,,,,1,,,3,8,FL_50,Base Case - Where to|Mixed Case - Where to
86,1,1,1,7,52.562,"in the first story bob told sue she could buy an italian newspaper at newstopia, and in the 2nd he told her two different stores but only one store, newstopia actually had italian newspapers",21,36,1,,,,1,,,,,4,6,FL_50,Base Case - Where to|Mixed Case - Where to
87,1,1,1,7,28.737,"The first story blatantly ponted out where to buy an italian newspaper, being the only option. The second story gave two options, with stores relativly close enough that it didnt put Sue out to check both of them out.",21,35,2,,,,,,1,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
88,1,1,1,6,16.626,"In the first story, Sue's friend, Bob, told her that she could get an Italian newspaper as the store Newstopia. He was correct in telling her that. In the second store, he told her that she could get an Italian newspaper in Newstopia and another store whose name I've already forgotten. Bob was still correct about Newstopia but wrong about the other store. Thus, he misinformed and misled Sue.",21,25,1,,,,,,1,,,3,8,FL_50,Base Case - Where to|Mixed Case - Where to
89,1,1,1,5,24.911,"In one, Bob told her two different stores and was wrong about one. In the other, Bob said only one store and was right.",21,27,2,,,,,,1,,,5,5,FL_50,Base Case - Where to|Mixed Case - Where to
90,1,1,1,7,44.855,"Bob was right about Newstopia in the first story, but not the other store in the second story, either way both stories came to the same conclusion, she got her italian newspaper.",21,36,1,,,1,,,,,,4,6,FL_50,Base Case - Where to|Mixed Case - Where to
91,1,1,1,7,117.242,"During the first story, Bob told Sue exactly where to go to get an Italian newspaper and he was correct.  In the second part of the story, Bob gave two places where Sue could get an Italian newspaper and he was correct about only one of the places.  ",21,33,2,,,,,,1,,,8,8,FL_50,Base Case - Where to|Mixed Case - Where to
92,1,1,1,7,53.172,"The second story included a store which was not mentioned in the first. The second store, Paperworld, did not sell newspapers whatsoever.",21,24,1,,,,,,1,,,2,10,FL_50,Base Case - Where to|Mixed Case - Where to
93,1,1,1,7,46.184,"In the first story, Sue knows where to buy teh italian newpaper, and is correct about that. In the second story, Sue knows two places where to buy an italian newspaper, but is incorrect about one of the places",21,33,1,,,,,,1,,,5,8,FL_50,Base Case - Where to|Mixed Case - Where to
94,1,1,1,6,36.561,"one had Bob being correct about where to buy an italian newspaper, the other had him still be right but also be completely wrong about another place to get it.",21,26,1,,,,,,1,,,2,8,FL_50,Base Case - Where to|Mixed Case - Where to
95,1,1,1,7,18.25,"One story Bob tells Sue a store does sell Italian newspapers, which is true. Second story Bob tells Sue that two stores sell italians newspapers when only one of the stores actually does.",21,19,1,,,,1,,,,,4,6,FL_50,Base Case - Where to|Mixed Case - Where to
96,1,1,1,7,19.669,"In one story, she was only given Newstopia as a choice, and it was correct. In the other she had Newstopia and PaperWorld, and PaperWorld didn't have that italian newspaper.",21,19,1,,,,,,1,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
97,1,1,1,2,63.298,"In the first story Sue was standing near one store that sells newspapers, in the second store Sue was standing between two stores that sell newspapers.",21,61,1,,,,,,1,,,3,6,FL_50,Base Case - Where to|Mixed Case - Where to
98,1,1,1,1,24.782,The 2nd story introduced another store that did not sell Italian newspapers.,21,24,1,,,,,,1,,,5,5,FL_50,Base Case - Where to|Mixed Case - Where to
99,1,1,1,5,132.47,"In the first story Sue was not sure about where to buy a news article, only having been informed by a local trustworthy guide named, Bob she often used. In the second story sue found out where to buy a news article after shopping at two separate stores, Bob the local guide whom she trusted had referred her to.",21,38,1,,,,,,1,,,4,3,FL_50,Base Case - Where to|Mixed Case - Where to
100,1,1,1,7,48.43,"In the first scenario Bob was correct in telling Sue that Newstopia sells Italian newspapers.  However, in the second scenario Bob was mistaken in telling sue that Paperworld sold Italian newspapers when the in fact sell office supplies.",21,31,1,,,,,,1,,,6,5,FL_50,Base Case - Where to|Mixed Case - Where to
101,1,1,1,5,5.613,sue was told she could buy an italian newspaper from newstopia from her friend Bob. in one case bob was right in the other he wasnt,21,21,1,,,1,,,,,,8,4,FL_50,Base Case - Where to|Mixed Case - Where to
102,1,1,1,7,16.178,"The first scenario gave one correct option, while the second gave one correct option and one incorrect option.",21,22,2,,,,,,1,,,5,7,FL_50,Base Case - Where to|Mixed Case - Where to
103,1,1,1,7,16.123,"The first story Sue has 1 place to buy a paper and they will have it.  In the second story, Sue has 2 options, 1 correct and 1 not correct, but she will still be able to buy the paper she wants.  She may have to go to 2 different stores to find it.",21,39,2,,,,,,1,,,5,7,FL_50,Base Case - Where to|Mixed Case - Where to
104,1,1,1,2,21.121,"Sue's friend was wrong about one of the places in the second story, it did not actually sell newspapers.",21,25,1,,,,,,1,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
105,1,1,1,7,33.304,One bob was right the other he was wrong,21,20,1,,,,,,1,,,2,6,FL_50,Base Case - Where to|Mixed Case - Where to
106,1,1,1,7,28.513,In one she knew where to buy a newspaper but in the other one she did not know.,21,20,1,,,,,,1,,,4,4,FL_50,Base Case - Where to|Mixed Case - Where to
107,1,1,1,6,21.241,"In one story the information given was 100% correct, in the second it was only 50% correct, but she still got the information she needed.",21,24,2,,1,,,,,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
108,1,1,1,6,25.37,Bob was correct in one and wrong in the other. Also the nuber of stores was diffrent. ,21,24,1,,,,,,1,,,5,7,FL_50,Base Case - Where to|Mixed Case - Where to
109,1,1,1,7,13.502, the second story had two options as to where Sue can get a paper versus the first story,21,39,1,,1,,1,,,,,6,4,FL_50,Base Case - Where to|Mixed Case - Where to
110,1,1,1,7,28.785,"In one there was only one business mentioned, and the information about it was correct. In the other, there were 2 businesses, and the information about one was correct while the information about the other was not.",21,18,1,,,,,,1,,,4,6,FL_50,Base Case - Where to|Mixed Case - Where to
111,1,1,1,7,41.417,"In the first story, he was accurate about where to buy an Italian newspaper. In the second story, he misinformed her about PaperWorld's ability to provide Italian newspapers.",21,28,1,,,,,,1,,,4,8,FL_50,Base Case - Where to|Mixed Case - Where to
112,1,1,1,6,20.466,"One sold Italian newspapers, the other didn't.",21,31,2,,,,,,1,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
113,1,1,1,7,10.978,"the second story included paperworld, which did not sell newspapers of any kind",21,25,1,,,,1,,,,,5,5,FL_50,Base Case - Where to|Mixed Case - Where to
114,1,1,1,7,18.313,"In the first, Bob listed one store where she could buy an Italian newspaper and was completely correct. In the second, he listed two and only one even sold newspapers.",21,18,1,,,,,,1,,,2,9,FL_50,Base Case - Where to|Mixed Case - Where to
115,1,1,1,7,108.433,"In the first story, Sue knew where to buy the paper. Bob told her the exact store that sells the paper. In the second story, Bob told her of two stores that sell the paper. He was incorrect, and Sue was misinformed. She does not know the correct store that sells the paper.",21,35,2,,,,,,1,,,5,6,FL_50,Base Case - Where to|Mixed Case - Where to
116,1,1,1,7,24.957,sue tried to trust bob in a foreign country,21,21,2,,,,,,1,,,4,6,FL_50,Base Case - Where to|Mixed Case - Where to
117,1,1,1,6,30.372,Sue doesn't trust bob.,21,20,2,,,,1,,,,,4,9,FL_50,Base Case - Where to|Mixed Case - Where to
118,1,1,1,5,24.997,In one story Bob was incorrect about one of his statements.,21,20,1,,,,,,1,,,4,4,FL_50,Base Case - Where to|Mixed Case - Where to
119,1,1,1,6,30.683,"In the second story, PaperWorld was included, which Bob said sold Italian newspapers but actually doesn't",21,19,2,,,,,,1,,,4,8,FL_50,Base Case - Where to|Mixed Case - Where to
120,1,1,1,5,71.637,"In the first story, Sue had no reason to doubt Bob's advice and indeed he was right.  In the second story, Sue had no reason to doubt Bob's advice but instead of one option to check out he gave her two options, and was right about one.  But in both stories Sue does learns where she can buy an Italian newspaper.",21,24,2,,,,,,1,,,5,8,FL_50,Base Case - Where to|Mixed Case - Where to
121,1,1,1,7,17.06,"Bob tells his friend the complete right answer about finding newspaper in the first story, but makes a mistake in his normally always-right advice in the second story.",21,21,2,,,,,1,1,,,4,7,FL_50,Base Case - Where to|Mixed Case - Where to
122,1,1,1,6,29.379,"In the first story, Bob gave Sue the correct information about the place to find the Italian Newspaper. In the second story Bob gave Sue a correct answer and an incorrect answer.",21,24,1,,,,,,1,,,5,6,FL_50,Base Case - Where to|Mixed Case - Where to
123,1,1,1,6,71.857,"In the first story, Bob told Sue she could buy an Italian newspaper at one location, and was correct. In the second story, Bob told Sue she could buy an Italian newspaper at two locations, and he was correct about one of the locations.",21,30,1,,,,,,,,,5,10,FL_50,Base Case - Where to|Mixed Case - Where to
124,1,1,1,6,22.63,The extra incorrect answer,21,30,1,,,,,,1,,,7,3,FL_50,Base Case - Where to|Mixed Case - Where to
125,1,1,2,6,13.795,"The first gave two stores, one of which did not contain the item Sue needed, and the second only gave one store, which did have what she needed.",21,27,2,,,,,,1,,,5,5,FL_50,Mixed Case - Where to|Base Case - Where to
126,1,1,2,7,19.219,in the first story sue realy does not know because she was misinformed and has a 50/50 shot in the second story she has a 100% shot,21,24,1,,,,,,1,,,4,5,FL_50,Mixed Case - Where to|Base Case - Where to
127,1,1,2,7,22.207,One has the correct and incorrect answer bob gave her and one just has the correct answer on where to buy an Italian newspaper.,21,34,1,,,,,,1,,,4,6,FL_50,Mixed Case - Where to|Base Case - Where to
128,1,1,2,7,12.204,Paperworld was not mentioned in the second one,21,25,2,,,,,,1,,,5,6,FL_50,Mixed Case - Where to|Base Case - Where to
129,1,1,2,1,12.221,"In all honesty, I only saw one story. The first one, then the same question twice in a row.",21,30,1,,,1,,,,,,5,7,FL_50,Mixed Case - Where to|Base Case - Where to
130,1,1,2,7,13.69,On place is a Paper Company and the other store sells newspapers,21,47,1,,,,,,1,,,4,6,FL_50,Mixed Case - Where to|Base Case - Where to
131,1,1,2,7,13.504,"In the first story, Susan was told two places to buy the newspaper, one of which was incorrect. In the second, she was told one place where she could buy the paper.",21,36,2,,,,,,1,,,4,7,FL_50,Mixed Case - Where to|Base Case - Where to
132,1,1,2,7,13.019,"In the first one, Bob give Sue information that is only partially correct about where she can by an Italian newspaper (he says both PaperWorld and Newstopia, but you cannot buy newspapers at the first store). In the second story, Bob give Sue information that is completely correct about where she can buy an Italian newspaper (at Newstopia).",21,25,2,,,,,,1,,,6,4,FL_50,Mixed Case - Where to|Base Case - Where to
133,1,1,2,7,20.618,In the second one Bob didn't tell Sue she could buy an Italian newspaper at the place that doesn't sell them.,21,22,2,,,,,,1,,,5,5,FL_50,Mixed Case - Where to|Base Case - Where to
134,1,1,2,6,32.907,The first story talked about PaperWorld and diminished Bob's credibility.  This changed everything.,21,33,1,,,,,,,1,Mixed race,4,7,FL_50,Mixed Case - Where to|Base Case - Where to
135,1,1,2,7,17.163,"Newstopia sold Italian newspapers, Paperworld sold office supplies.",21,19,1,,,,,,1,,,2,6,FL_50,Mixed Case - Where to|Base Case - Where to
136,1,1,2,6,19.033,Bob was correct in the second scenario but only partially correct in the first scenario,21,20,1,,1,,,,,,,2,6,FL_50,Mixed Case - Where to|Base Case - Where to
137,1,1,2,7,22.484,"In the first story, Bob gave Sue wrong information but in the second story, Sue believed Bob and Bob gave the right information.",21,37,1,,,,1,,,,,5,8,FL_50,Mixed Case - Where to|Base Case - Where to
138,1,1,2,1,14.391,In the first story Bob was incorrect in telling Sue which stores carried an Italian newspaper. He said both stores carried it while only NewsTopia did. In the other story Bob was correct in both of his predictions,21,21,1,,,,,,1,,,4,7,FL_50,Mixed Case - Where to|Base Case - Where to
139,1,1,2,7,24.739,One sells stationery products while the other sells newspapers.,21,75,2,,,,,,1,,,2,9,FL_50,Mixed Case - Where to|Base Case - Where to
140,1,1,2,6,16.09,In one of the scenarios bob was incorrect about what is sold in one of the stores,21,18,1,,,,,,1,,,4,4,FL_50,Mixed Case - Where to|Base Case - Where to
141,1,1,2,1,23.613,"Newstopia had the paper on the second scenario, though she did not know which place(s) had the Italian newspaper from the intial point until she talked to Bob, even though Bob misinformed her about the first one",21,28,1,,,,,,1,,,4,7,FL_50,Mixed Case - Where to|Base Case - Where to
